,Time,Temperature (c),Salinity (ppt),ODO mg/L,temp_z-score,salinity_z-score,odo_z-score,Date
18,17:55.4,29.70000076,47.53,5.82,2.730097654680238,2.2146076408928628,-0.001744529019874137,2024-11-16
19,17:56.4,29.70000076,47.43,5.81,2.730097654680238,2.175319867674329,-0.03134700582587975,2024-11-16
20,17:57.4,29.60000038,47.63,5.79,2.450496074290459,2.2538954141113963,-0.09055195943788572,2024-11-16
21,17:58.4,29.60000038,47.63,5.79,2.450496074290459,2.2538954141113963,-0.09055195943788572,2024-11-16
22,17:59.4,29.60000038,47.5,5.78,2.450496074290459,2.202821308927302,-0.12015443624388869,2024-11-16
23,18:00.4,29.60000038,47.7,5.75,2.450496074290459,2.2813968553643695,-0.20896186666190028,2024-11-16
24,18:01.4,29.60000038,47.7,5.75,2.450496074290459,2.2813968553643695,-0.20896186666190028,2024-11-16
25,18:02.4,29.5,47.27,5.77,2.1708944939006805,2.1124594305246776,-0.1497569130498943,2024-11-16
26,18:03.4,29.5,47.12,5.79,2.1708944939006805,2.053527770696876,-0.09055195943788572,2024-11-16
27,18:04.4,29.5,47.12,5.79,2.1708944939006805,2.053527770696876,-0.09055195943788572,2024-11-16
28,18:05.4,29.5,47.24,5.79,2.1708944939006805,2.1006730985591173,-0.09055195943788572,2024-11-16
29,18:06.4,29.39999962,47.17,5.78,1.8912929135109016,2.073171657306144,-0.12015443624388869,2024-11-16
30,18:07.4,29.39999962,47.17,5.78,1.8912929135109016,2.073171657306144,-0.12015443624388869,2024-11-16
31,18:08.4,29.39999962,46.9,5.79,1.8912929135109016,1.9670946696161036,-0.09055195943788572,2024-11-16
32,18:09.4,29.39999962,46.9,5.79,1.8912929135109016,1.9670946696161036,-0.09055195943788572,2024-11-16
33,18:10.4,29.39999962,46.51,5.81,1.8912929135109016,1.8138723540638246,-0.03134700582587975,2024-11-16
34,18:11.4,29.29999924,46.92,5.81,1.6116913331211227,1.9749522242598114,-0.03134700582587975,2024-11-16
35,18:12.4,29.29999924,46.92,5.81,1.6116913331211227,1.9749522242598114,-0.03134700582587975,2024-11-16
36,18:13.4,29.29999924,46.85,5.82,1.6116913331211227,1.9474507830068382,-0.001744529019874137,2024-11-16
37,18:14.4,29.29999924,46.87,5.82,1.6116913331211227,1.9553083376505433,-0.001744529019874137,2024-11-16
38,18:15.4,29.29999924,46.87,5.82,1.6116913331211227,1.9553083376505433,-0.001744529019874137,2024-11-16
39,18:16.4,29.29999924,46.76,5.82,1.6116913331211227,1.912091787110157,-0.001744529019874137,2024-11-16
40,18:17.4,29.29999924,46.09,5.83,1.6116913331211227,1.6488637065459881,0.027857947786128844,2024-11-16
41,18:18.4,29.29999924,46.09,5.83,1.6116913331211227,1.6488637065459881,0.027857947786128844,2024-11-16
42,18:19.4,29.29999924,46.24,5.83,1.6116913331211227,1.707795366373787,0.027857947786128844,2024-11-16
43,18:20.4,29.20000076,46.19,5.82,1.3320950651411965,1.6881514797645187,-0.001744529019874137,2024-11-16
44,18:21.4,29.20000076,46.41,5.81,1.3320950651411965,1.7745845808452911,-0.03134700582587975,2024-11-16
45,18:22.4,29.20000076,46.41,5.81,1.3320950651411965,1.7745845808452911,-0.03134700582587975,2024-11-16
46,18:23.4,29.20000076,46.36,5.81,1.3320950651411965,1.7549406942360257,-0.03134700582587975,2024-11-16
47,18:24.4,29.20000076,46.26,5.81,1.3320950651411965,1.715652921017492,-0.03134700582587975,2024-11-16
48,18:25.4,29.20000076,46.26,5.81,1.3320950651411965,1.715652921017492,-0.03134700582587975,2024-11-16
49,18:26.4,29.20000076,46.24,5.81,1.3320950651411965,1.707795366373787,-0.03134700582587975,2024-11-16
50,18:27.4,29.20000076,46.41,5.8,1.3320950651411965,1.7745845808452911,-0.06094948263188273,2024-11-16
51,18:28.4,29.20000076,46.41,5.8,1.3320950651411965,1.7745845808452911,-0.06094948263188273,2024-11-16
52,18:29.4,29.20000076,46.16,5.81,1.3320950651411965,1.6763651477989585,-0.03134700582587975,2024-11-16
53,18:30.4,29.10000038,46.24,5.8,1.0524934847514178,1.707795366373787,-0.06094948263188273,2024-11-16
54,18:31.4,29.10000038,46.24,5.8,1.0524934847514178,1.707795366373787,-0.06094948263188273,2024-11-16
55,18:32.4,29.10000038,46.0,5.81,1.0524934847514178,1.613504710649307,-0.03134700582587975,2024-11-16
56,18:33.4,29.10000038,45.85,5.83,1.0524934847514178,1.554573050821508,0.027857947786128844,2024-11-16
57,18:34.4,29.10000038,45.85,5.83,1.0524934847514178,1.554573050821508,0.027857947786128844,2024-11-16
58,18:35.5,29.10000038,45.83,5.82,1.0524934847514178,1.5467154961778002,-0.001744529019874137,2024-11-16
59,18:36.5,29.10000038,45.83,5.82,1.0524934847514178,1.5467154961778002,-0.001744529019874137,2024-11-16
60,18:37.5,29.10000038,45.83,5.82,1.0524934847514178,1.5467154961778002,-0.001744529019874137,2024-11-16
61,18:38.5,29.10000038,45.82,5.82,1.0524934847514178,1.5427867188559476,-0.001744529019874137,2024-11-16
62,18:39.5,29.10000038,45.7,5.84,1.0524934847514178,1.495641390993709,0.057460424592131826,2024-11-16
63,18:40.6,29.10000038,45.7,5.84,1.0524934847514178,1.495641390993709,0.057460424592131826,2024-11-16
64,18:41.6,29.10000038,45.62,5.83,1.0524934847514178,1.4642111724188804,0.027857947786128844,2024-11-16
65,18:42.5,29.10000038,45.56,5.84,1.0524934847514178,1.4406385084877626,0.057460424592131826,2024-11-16
66,18:43.6,29.10000038,45.45,5.85,1.0524934847514178,1.3974219579473766,0.08706290139813481,2024-11-16
67,18:44.6,29.10000038,45.32,5.88,1.0524934847514178,1.3463478527632826,0.1758703318161464,2024-11-16
68,18:45.6,29.0,45.33,5.9,0.772891904361639,1.3502766300851352,0.23507528542815498,2024-11-16
69,18:46.6,29.0,45.33,5.9,0.772891904361639,1.3502766300851352,0.23507528542815498,2024-11-16
70,18:47.6,29.0,45.25,5.88,0.772891904361639,1.3188464115103093,0.1758703318161464,2024-11-16
71,18:48.6,29.0,44.87,5.89,0.772891904361639,1.169552873279883,0.20547280862214937,2024-11-16
72,18:49.6,29.0,44.87,5.89,0.772891904361639,1.169552873279883,0.20547280862214937,2024-11-16
73,18:50.6,29.0,44.89,5.89,0.772891904361639,1.1774104279235906,0.20547280862214937,2024-11-16
74,18:51.6,29.0,45.26,5.87,0.772891904361639,1.322775188832162,0.1462678550101434,2024-11-16
75,18:52.6,29.0,45.26,5.87,0.772891904361639,1.322775188832162,0.1462678550101434,2024-11-16
76,18:53.6,29.0,45.07,5.87,0.772891904361639,1.24812841971695,0.1462678550101434,2024-11-16
77,18:54.6,29.0,45.0,5.89,0.772891904361639,1.2206269784639767,0.20547280862214937,2024-11-16
78,18:55.6,29.0,44.93,5.89,0.772891904361639,1.1931255372110037,0.20547280862214937,2024-11-16
79,18:56.6,29.0,44.64,5.9,0.772891904361639,1.0791909948772582,0.23507528542815498,2024-11-16
80,18:57.6,29.0,44.64,5.9,0.772891904361639,1.0791909948772582,0.23507528542815498,2024-11-16
81,18:58.6,29.0,44.8,5.88,0.772891904361639,1.1420514320269097,0.1758703318161464,2024-11-16
82,18:59.6,29.0,45.03,5.87,0.772891904361639,1.2324133104295372,0.1462678550101434,2024-11-16
83,19:00.6,29.0,45.03,5.87,0.772891904361639,1.2324133104295372,0.1462678550101434,2024-11-16
84,19:01.6,29.0,44.83,5.88,0.772891904361639,1.15383776399247,0.1758703318161464,2024-11-16
85,19:02.6,29.0,44.68,5.87,0.772891904361639,1.094906104164671,0.1462678550101434,2024-11-16
86,19:03.6,28.89999962,44.38,5.89,0.49329032397186023,0.9770427845090731,0.20547280862214937,2024-11-16
87,19:04.6,28.89999962,44.38,5.89,0.49329032397186023,0.9770427845090731,0.20547280862214937,2024-11-16
88,19:05.6,28.89999962,44.71,5.89,0.49329032397186023,1.1066924361302315,0.20547280862214937,2024-11-16
89,19:06.6,28.89999962,44.68,5.91,0.49329032397186023,1.094906104164671,0.26467776223415795,2024-11-16
90,19:07.6,28.89999962,44.68,5.91,0.49329032397186023,1.094906104164671,0.26467776223415795,2024-11-16
91,19:08.6,28.89999962,44.65,5.92,0.49329032397186023,1.0831197721991106,0.29428023904016093,2024-11-16
92,19:09.6,28.89999962,44.42,5.93,0.49329032397186023,0.992757893796486,0.3238827158461639,2024-11-16
93,19:10.6,28.89999962,44.67,5.93,0.49329032397186023,1.0909773268428185,0.3238827158461639,2024-11-16
94,19:11.6,28.89999962,44.67,5.93,0.49329032397186023,1.0909773268428185,0.3238827158461639,2024-11-16
95,19:12.6,28.89999962,44.58,5.92,0.49329032397186023,1.0556183309461376,0.29428023904016093,2024-11-16
96,19:13.6,28.89999962,44.05,5.95,0.49329032397186023,0.8473931328879121,0.3830876694581725,2024-11-16
97,19:14.6,28.89999962,44.05,5.95,0.49329032397186023,0.8473931328879121,0.3830876694581725,2024-11-16
98,19:15.6,28.89999962,44.65,5.94,0.49329032397186023,1.0831197721991106,0.35348519265216954,2024-11-16
99,19:16.6,28.89999962,44.43,5.94,0.49329032397186023,0.9966866711183385,0.35348519265216954,2024-11-16
100,19:17.6,28.89999962,44.02,5.97,0.49329032397186023,0.8356068009223545,0.44229262307017847,2024-11-16
101,19:18.6,28.89999962,44.02,5.97,0.49329032397186023,0.8356068009223545,0.44229262307017847,2024-11-16
102,19:19.6,28.89999962,44.3,5.96,0.49329032397186023,0.9456125659342446,0.4126901462641755,2024-11-16
103,19:20.6,28.89999962,44.3,5.96,0.49329032397186023,0.9456125659342446,0.4126901462641755,2024-11-16
104,19:21.6,28.89999962,44.33,5.96,0.49329032397186023,0.9573988978998049,0.4126901462641755,2024-11-16
105,19:22.6,28.89999962,44.4,5.95,0.49329032397186023,0.9849003391527782,0.3830876694581725,2024-11-16
106,19:23.6,28.89999962,44.4,5.95,0.49329032397186023,0.9849003391527782,0.3830876694581725,2024-11-16
107,19:24.6,28.89999962,44.35,5.94,0.49329032397186023,0.9652564525435128,0.35348519265216954,2024-11-16
108,19:25.6,28.89999962,43.79,5.96,0.49329032397186023,0.745244922519727,0.4126901462641755,2024-11-16
109,19:26.6,28.89999962,43.79,5.96,0.49329032397186023,0.745244922519727,0.4126901462641755,2024-11-16
110,19:27.6,28.89999962,44.4,5.94,0.49329032397186023,0.9849003391527782,0.35348519265216954,2024-11-16
111,19:28.6,28.89999962,44.09,5.95,0.49329032397186023,0.8631082421753277,0.3830876694581725,2024-11-16
112,19:29.6,28.89999962,44.09,5.95,0.49329032397186023,0.8631082421753277,0.3830876694581725,2024-11-16
113,19:30.6,28.89999962,43.91,5.94,0.49329032397186023,0.7923902503819656,0.35348519265216954,2024-11-16
114,19:31.6,28.89999962,44.02,5.94,0.49329032397186023,0.8356068009223545,0.35348519265216954,2024-11-16
115,19:32.6,28.89999962,44.02,5.94,0.49329032397186023,0.8356068009223545,0.35348519265216954,2024-11-16
116,19:33.6,28.89999962,43.83,5.97,0.49329032397186023,0.7609600318071399,0.44229262307017847,2024-11-16
117,19:34.7,28.79999924,43.94,5.98,0.21368874358208145,0.804176582347526,0.4718950998761841,2024-11-16
118,19:35.7,28.79999924,43.94,5.98,0.21368874358208145,0.804176582347526,0.4718950998761841,2024-11-16
119,19:36.7,28.79999924,43.79,5.97,0.21368874358208145,0.745244922519727,0.44229262307017847,2024-11-16
120,19:37.7,28.79999924,43.87,5.95,0.21368874358208145,0.7766751410945527,0.3830876694581725,2024-11-16
121,19:38.7,28.79999924,43.87,5.95,0.21368874358208145,0.7766751410945527,0.3830876694581725,2024-11-16
122,19:39.7,28.79999924,43.87,5.95,0.21368874358208145,0.7766751410945527,0.3830876694581725,2024-11-16
123,19:40.7,28.79999924,44.11,5.93,0.21368874358208145,0.8709657968190327,0.3238827158461639,2024-11-16
124,19:41.7,28.79999924,43.56,5.94,0.21368874358208145,0.6548830441171023,0.35348519265216954,2024-11-16
125,19:42.8,28.79999924,43.56,5.94,0.21368874358208145,0.6548830441171023,0.35348519265216954,2024-11-16
126,19:43.8,28.79999924,44.06,5.93,0.21368874358208145,0.8513219102097673,0.3238827158461639,2024-11-16
127,19:44.8,28.79999924,43.52,5.94,0.21368874358208145,0.6391679348296894,0.35348519265216954,2024-11-16
128,19:45.8,28.79999924,43.52,5.94,0.21368874358208145,0.6391679348296894,0.35348519265216954,2024-11-16
129,19:46.8,28.79999924,43.87,5.92,0.21368874358208145,0.7766751410945527,0.29428023904016093,2024-11-16
130,19:47.8,28.79999924,43.56,5.95,0.21368874358208145,0.6548830441171023,0.3830876694581725,2024-11-16
131,19:48.8,28.79999924,43.56,5.95,0.21368874358208145,0.6548830441171023,0.3830876694581725,2024-11-16
132,19:49.8,28.79999924,43.68,5.94,0.21368874358208145,0.7020283719793409,0.35348519265216954,2024-11-16
133,19:50.8,28.79999924,43.7,5.92,0.21368874358208145,0.7098859266230487,0.29428023904016093,2024-11-16
134,19:51.8,28.79999924,43.7,5.92,0.21368874358208145,0.7098859266230487,0.29428023904016093,2024-11-16
135,19:52.8,28.79999924,43.58,5.94,0.21368874358208145,0.6627405987608073,0.35348519265216954,2024-11-16
136,19:53.8,28.79999924,43.5,5.94,0.21368874358208145,0.6313103801859816,0.35348519265216954,2024-11-16
137,19:54.8,28.79999924,43.5,5.94,0.21368874358208145,0.6313103801859816,0.35348519265216954,2024-11-16
138,19:55.8,28.79999924,43.31,5.94,0.21368874358208145,0.5566636110707698,0.35348519265216954,2024-11-16
139,19:56.8,28.79999924,43.52,5.93,0.21368874358208145,0.6391679348296894,0.3238827158461639,2024-11-16
140,19:57.8,28.79999924,43.44,5.94,0.21368874358208145,0.6077377162548608,0.35348519265216954,2024-11-16
141,19:58.8,28.79999924,43.38,5.95,0.21368874358208145,0.5841650523237429,0.3830876694581725,2024-11-16
142,19:59.9,28.79999924,43.38,5.95,0.21368874358208145,0.5841650523237429,0.3830876694581725,2024-11-16
143,20:00.9,28.79999924,43.36,5.94,0.21368874358208145,0.5763074976800351,0.35348519265216954,2024-11-16
144,20:01.9,28.79999924,43.19,5.95,0.21368874358208145,0.5095182832085283,0.3830876694581725,2024-11-16
145,20:02.9,28.79999924,43.35,5.96,0.21368874358208145,0.5723787203581826,0.4126901462641755,2024-11-16
146,20:03.9,28.79999924,43.13,5.96,0.21368874358208145,0.4859456192774104,0.4126901462641755,2024-11-16
147,20:04.9,28.79999924,43.29,5.95,0.21368874358208145,0.5488060564270619,0.3830876694581725,2024-11-16
148,20:05.9,28.79999924,43.05,5.95,0.21368874358208145,0.4545154007025819,0.3830876694581725,2024-11-16
149,20:06.9,28.79999924,43.24,5.95,0.21368874358208145,0.5291621698177965,0.3830876694581725,2024-11-16
150,20:07.9,28.79999924,43.02,5.97,0.21368874358208145,0.44272906873702433,0.44229262307017847,2024-11-16
151,20:08.9,28.79999924,43.13,5.97,0.21368874358208145,0.4859456192774104,0.44229262307017847,2024-11-16
152,20:09.9,28.79999924,42.92,5.98,0.21368874358208145,0.40344129551849073,0.4718950998761841,2024-11-16
153,20:10.9,28.79999924,43.12,5.97,0.21368874358208145,0.4820168419555551,0.44229262307017847,2024-11-16
154,20:11.9,28.79999924,42.91,5.98,0.21368874358208145,0.3995125181966354,0.4718950998761841,2024-11-16
155,20:12.9,28.79999924,43.11,5.97,0.21368874358208145,0.47808806463370257,0.44229262307017847,2024-11-16
156,20:13.9,28.79999924,43.07,5.97,0.21368874358208145,0.4623729553462897,0.44229262307017847,2024-11-16
157,20:14.9,28.79999924,43.07,5.97,0.21368874358208145,0.4623729553462897,0.44229262307017847,2024-11-16
158,20:15.9,28.79999924,43.13,5.97,0.21368874358208145,0.4859456192774104,0.44229262307017847,2024-11-16
159,20:16.9,28.79999924,42.94,5.98,0.21368874358208145,0.4112988501621958,0.4718950998761841,2024-11-16
160,20:17.9,28.79999924,43.01,5.96,0.21368874358208145,0.438800291415169,0.4126901462641755,2024-11-16
161,20:18.9,28.79999924,42.79,5.98,0.21368874358208145,0.35236719033439684,0.4718950998761841,2024-11-16
162,20:19.9,28.70000076,42.95,5.96,-0.06590752439784467,0.41522762748405107,0.4126901462641755,2024-11-16
163,20:20.9,28.79999924,42.76,5.98,0.21368874358208145,0.34058085836883645,0.4718950998761841,2024-11-16
164,20:21.9,28.70000076,42.95,5.97,-0.06590752439784467,0.41522762748405107,0.44229262307017847,2024-11-16
165,20:22.9,28.70000076,43.22,5.94,-0.06590752439784467,0.5213046151740887,0.35348519265216954,2024-11-16
166,20:23.9,28.70000076,42.8,5.95,-0.06590752439784467,0.3562959676562493,0.3830876694581725,2024-11-16
167,20:24.9,28.70000076,42.91,5.94,-0.06590752439784467,0.3995125181966354,0.35348519265216954,2024-11-16
168,20:25.9,28.70000076,42.65,5.94,-0.06590752439784467,0.29736430782845036,0.35348519265216954,2024-11-16
169,20:26.9,28.70000076,42.84,5.93,-0.06590752439784467,0.372011076943665,0.3238827158461639,2024-11-16
170,20:27.9,28.70000076,42.92,5.93,-0.06590752439784467,0.40344129551849073,0.3238827158461639,2024-11-16
171,20:28.9,28.70000076,42.71,5.95,-0.06590752439784467,0.3209369717595711,0.3830876694581725,2024-11-16
172,20:29.9,28.70000076,42.81,5.92,-0.06590752439784467,0.36022474497810464,0.29428023904016093,2024-11-16
173,20:30.9,28.70000076,42.62,5.91,-0.06590752439784467,0.28557797586289,0.26467776223415795,2024-11-16
174,20:31.9,28.70000076,42.78,5.91,-0.06590752439784467,0.3484384130125443,0.26467776223415795,2024-11-16
175,20:32.9,28.70000076,42.81,5.92,-0.06590752439784467,0.36022474497810464,0.29428023904016093,2024-11-16
176,20:33.9,28.70000076,42.6,5.94,-0.06590752439784467,0.277720421219185,0.35348519265216954,2024-11-16
177,20:34.9,28.70000076,42.74,5.95,-0.06590752439784467,0.3327233037251314,0.3830876694581725,2024-11-16
178,20:35.9,28.70000076,42.69,5.93,-0.06590752439784467,0.31307941711586323,0.3238827158461639,2024-11-16
179,20:36.9,28.70000076,42.4,5.95,-0.06590752439784467,0.19914487478211781,0.3830876694581725,2024-11-16
180,20:38.0,28.70000076,42.27,5.94,-0.06590752439784467,0.14807076959802667,0.35348519265216954,2024-11-16
181,20:39.0,28.70000076,42.13,5.96,-0.06590752439784467,0.09306788709208023,0.4126901462641755,2024-11-16
182,20:40.0,28.70000076,41.68,5.95,-0.06590752439784467,-0.08372709239131945,0.3830876694581725,2024-11-16
183,20:41.0,28.70000076,42.01,5.93,-0.06590752439784467,0.04592255922983884,0.3238827158461639,2024-11-16
184,20:42.0,28.70000076,42.1,5.92,-0.06590752439784467,0.08128155512651988,0.29428023904016093,2024-11-16
